,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM,SOLUSDTM
,index_price,mark_price,best_bid,best_ask,funding_rate
datetime,,,,,
2025-11-16 12:34:11,139.558,139.563,139.553,139.554,
2025-11-16 12:34:12,139.56,139.565,139.553,139.554,
2025-11-16 12:34:13,,,139.54879999999997,139.5498,
2025-11-16 12:34:14,139.55,139.553,139.53429999999997,139.53529999999998,
2025-11-16 12:34:15,139.547,139.546,139.4873,139.48829999999998,
2025-11-16 12:34:16,139.478,139.474,139.4184,139.4194,
2025-11-16 12:34:17,139.429,139.424,139.3269,139.3298,
2025-11-16 12:34:18,139.328,139.333,139.3179,139.32170000000002,
2025-11-16 12:34:19,139.332,139.327,139.27609999999999,139.2771,
2025-11-16 12:34:20,139.278,139.283,139.24880000000002,139.2498,
2025-11-16 12:34:21,139.259,139.254,139.2339,139.2349,
2025-11-16 12:34:22,139.252,139.247,139.2133,139.2143,
2025-11-16 12:34:23,139.209,139.214,139.236,139.237,
2025-11-16 12:34:24,139.243,139.238,139.2219,139.2229,
2025-11-16 12:34:25,139.236,139.231,139.221,139.222,
2025-11-16 12:34:26,,,139.22560000000001,139.22660000000002,
2025-11-16 12:34:27,139.229,139.234,139.251,139.252,
2025-11-16 12:34:28,139.269,139.265,139.3111,139.31210000000002,
2025-11-16 12:34:29,139.309,139.314,139.3184,139.3194,
2025-11-16 12:34:30,139.334,139.33,139.3014,139.30239999999998,
2025-11-16 12:34:31,139.318,139.317,139.30519999999999,139.3062,
2025-11-16 12:34:32,139.316,139.311,139.309,139.31,
2025-11-16 12:34:33,139.314,139.309,139.3082,139.3092,
2025-11-16 12:34:34,139.317,139.314,139.29,139.291,
2025-11-16 12:34:35,139.307,139.312,139.3021,139.3031,
2025-11-16 12:34:36,139.309,139.314,139.3064,139.3074,
2025-11-16 12:34:37,139.322,139.317,139.29760000000002,139.2986,
2025-11-16 12:34:38,139.306,139.311,139.3112,139.31220000000002,
2025-11-16 12:34:39,139.316,139.317,139.33700000000002,139.33800000000002,
2025-11-16 12:34:40,139.347,139.342,139.3289,139.3299,
2025-11-16 12:34:41,139.339,139.334,139.327,139.328,
2025-11-16 12:34:42,139.338,139.333,139.2492,139.2502,
2025-11-16 12:34:43,139.274,139.269,139.21480000000003,139.2158,
2025-11-16 12:34:44,139.217,139.212,139.2415,139.2425,
2025-11-16 12:34:45,139.247,139.252,139.2937,139.29469999999998,
2025-11-16 12:34:46,139.305,139.3,139.294,139.295,
2025-11-16 12:34:47,139.311,139.306,139.2953,139.2963,
2025-11-16 12:34:48,139.313,139.308,139.303,139.304,
2025-11-16 12:34:49,139.315,139.31,139.2854,139.28640000000001,
2025-11-16 12:34:50,139.293,139.298,139.276,139.277,
2025-11-16 12:34:51,139.297,139.292,139.2712,139.27219999999997,
2025-11-16 12:34:52,139.283,139.278,139.2618,139.2628,
2025-11-16 12:34:53,139.275,139.27,139.26690000000002,139.2679,
2025-11-16 12:34:54,139.272,139.267,139.269,139.27,
2025-11-16 12:34:55,139.271,139.266,139.269,139.27,
2025-11-16 12:34:56,139.268,139.263,139.269,139.27,
2025-11-16 12:34:57,139.269,139.264,139.269,139.27,
2025-11-16 12:34:58,139.267,139.262,139.269,139.27,
2025-11-16 12:34:59,139.269,139.264,139.2584,139.2594,
2025-11-16 12:35:00,139.264,139.269,139.2397,139.2407,8.8e-05
2025-11-16 12:35:01,139.259,139.254,139.1998,139.20080000000002,
2025-11-16 12:35:02,139.193,139.196,139.1757,139.1767,
2025-11-16 12:35:03,139.188,139.182,139.1721,139.1731,
2025-11-16 12:35:04,139.192,139.186,139.176,139.17860000000002,
2025-11-16 12:35:05,139.189,139.183,139.192,139.193,
2025-11-16 12:35:06,139.2,139.194,139.1728,139.1738,
2025-11-16 12:35:07,139.19,139.184,139.168,139.169,
2025-11-16 12:35:08,139.191,139.185,139.1915,139.19250000000002,
2025-11-16 12:35:09,139.207,139.212,139.246,139.247,
2025-11-16 12:35:10,139.259,139.253,139.2446,139.24560000000002,
2025-11-16 12:35:11,139.254,139.249,139.24880000000002,139.2498,
2025-11-16 12:35:12,139.259,139.253,139.246,139.247,
2025-11-16 12:35:13,139.257,139.251,139.2207,139.2217,
2025-11-16 12:35:14,139.224,139.22,139.2454,139.2464,
2025-11-16 12:35:15,139.264,139.258,139.256,139.257,
2025-11-16 12:35:16,,,139.288,139.28900000000002,
2025-11-16 12:35:17,139.294,139.299,139.336,139.337,
2025-11-16 12:35:18,139.345,139.34,139.336,139.337,
2025-11-16 12:35:19,139.356,139.351,139.323,139.324,
2025-11-16 12:35:20,139.327,139.332,139.3207,139.32170000000002,
